Index,Stock Value,Weighted Average,Sigma,Portfolio Value
550,3.42,3.50587,0.0999608,82.1965
551,3.3901,3.5024,0.0999846,81.4779
552,3.3879,3.49896,0.100006,81.425
553,3.395,3.49584,0.100007,81.5957
554,3.395,3.49282,0.100003,81.5957
555,3.365,3.48898,0.100052,80.8746
556,3.37,3.48541,0.100081,80.9948
557,3.365,3.4818,0.100114,80.8746
558,3.34,3.47755,0.100193,80.2738
559,3.32,3.47282,0.100312,79.7931
560,3.3,3.46764,0.100472,79.3124
561,3.29,3.46231,0.100645,79.0721
562,3.295,3.45729,0.100788,79.1923
563,3.27,3.45167,0.100989,78.5914
564,3.235,3.44517,0.101286,77.7502
565,3.2613,3.43965,0.101474,78.3823
566,3.25,3.43396,0.101678,78.1107
567,3.25,3.42844,0.101864,78.1107
568,3.25,3.42309,0.102033,78.1107
569,3.255,3.41805,0.102172,78.2309
570,3.28,3.41391,0.102236,78.8317
571,3.2192,3.40807,0.102452,77.3705
572,3.16,3.40062,0.102855,75.9477
573,3.1712,3.39374,0.103184,76.2168
574,3.16,3.38673,0.103527,75.9477
575,3.145,3.37948,0.103897,75.5872
576,3.15,3.37259,0.10422,75.7073
577,3.24,3.36862,0.104267,77.8704
578,3.28,3.36596,0.104238,78.8317
579,3.215,3.36143,0.104326,77.2695
580,3.23,3.35749,0.10437,77.63
581,3.185,3.35231,0.104511,76.5485
582,3.19,3.34744,0.104624,76.6687
583,3.2,3.34302,0.104702,76.909
584,3.19,3.33843,0.104793,76.6687
585,3.11,3.33157,0.105102,74.746
586,3.1439,3.32594,0.105281,75.5607
587,3.165,3.32112,0.105389,76.0678
588,3.15,3.31598,0.105521,75.7073
589,3.16,3.3113,0.105615,75.9477
590,3.16,3.30676,0.105699,75.9477
591,3.17,3.30266,0.10575,76.188
592,3.135,3.29763,0.105872,75.3468
593,3.16,3.2935,0.105924,75.9477
594,3.15,3.2892,0.105989,75.7073
595,3.1392,3.2847,0.106067,75.4478
596,3.125,3.27991,0.106168,75.1065
597,3.13,3.27541,0.106246,75.2266
598,3.14,3.27135,0.106293,75.467
599,3.075,3.26546,0.106488,73.9048
600,3.085,3.26004,0.106639,74.1451
601,3.045,3.25359,0.106889,73.1837
602,3.045,3.24733,0.107118,73.1837
603,3.0292,3.24079,0.107375,72.804
604,3.0201,3.23417,0.107638,72.5853
605,3,3.22714,0.107944,72.1022
606,3.06,3.22213,0.108056,73.5443
607,3.105,3.21862,0.108065,74.6258
608,3.075,3.21431,0.108124,73.9048
609,3.055,3.20953,0.108217,73.4241
610,3.045,3.20459,0.108321,73.1837
611,3.075,3.2007,0.108351,73.9048
612,3.07,3.19678,0.108384,73.7846
613,3.06,3.19268,0.108428,73.5443
614,3.0421,3.18816,0.1085,73.114
615,3.05,3.18402,0.108546,73.3039
616,3.015,3.17895,0.108659,72.4627
617,3.01,3.17388,0.108771,72.3426
618,3.015,3.16911,0.108859,72.4627
619,3,3.16404,0.108971,72.1022
620,2.96,3.15792,0.109172,71.1408
621,2.89,3.14988,0.109581,69.4585
622,2.905,3.14253,0.109906,69.819
623,2.895,3.13511,0.110237,69.5786
624,2.915,3.1285,0.11048,70.0593
625,2.915,3.1221,0.110701,70.0593
626,2.9,3.11544,0.110947,69.6988
627,2.85,3.10747,0.111334,68.4971
628,2.8809,3.10068,0.11159,69.2398
629,2.895,3.09451,0.111784,69.5786
630,2.895,3.08852,0.111961,69.5786
631,2.9198,3.08346,0.112062,70.1747
632,2.91,3.07826,0.112173,69.9391
633,2.88,3.07231,0.112344,69.2181
634,2.86,3.06594,0.112553,68.7374
635,2.86,3.05976,0.112743,68.7374
636,2.86,3.05377,0.112916,68.7374
637,2.855,3.0478,0.113085,68.6173
638,2.875,3.04262,0.113191,69.098
639,2.87,3.03744,0.113296,68.9778
640,2.88,3.03272,0.113368,69.2181
641,3.005,3.03189,0.113285,72.2224
642,3,3.03093,0.113203,72.1022
643,2.985,3.02955,0.113129,71.7417
644,2.97,3.02777,0.113064,71.3812
645,2.97,3.02603,0.112998,71.3812
646,2.97,3.02435,0.112931,71.3812
647,3,3.02362,0.112847,72.1022
648,2.925,3.02066,0.112823,70.2997
649,2.905,3.01719,0.112822,69.819
650,2.905,3.01383,0.112816,69.819
